TIME,STRATEGY NAME,TRADE NO,STOCK,PRICE,QUANTITY,TYPE,SL,TARGET,STATUS,EXIT PRICE,PL
09:15:00,SECONDARY GAP DOWN OPEN LOW LONG,1,TORNTPOWER,295.05,8,buy,293.55,300.90,STOPLOSS TRIGGERED,293.55,-12.00,929
09:15:05,SECONDARY GAP UP OPEN HIGH SHORT,2,HDFCBANK,854.20,1,sell,871.35,837.20,TARGET TRIGGERED,837.20,17.00,930
09:15:06,SECONDARY GAP UP OPEN HIGH SHORT,3,LT,824.10,1,sell,840.65,807.70,TARGET TRIGGERED,807.70,16.40,931
09:15:06,SECONDARY GAP UP OPEN HIGH SHORT,4,PVR,750.50,1,sell,765.60,735.55,TARGET TRIGGERED,735.55,14.95,932
09:15:07,SECONDARY GAP UP OPEN HIGH SHORT,5,BHARTIARTL,560.75,5,sell,572.05,549.60,STOPLOSS TRIGGERED,572.05,-56.50,934
09:15:08,SECONDARY GAP UP OPEN HIGH SHORT,6,MCDOWELL-N,547.35,3,sell,558.35,536.50,STOPLOSS TRIGGERED,558.35,-33.00,935
09:15:09,SECONDARY GAP UP OPEN HIGH SHORT,7,INDUSINDBK,385.35,1,sell,393.15,377.70,TARGET TRIGGERED,377.70,7.65,936
09:15:10,SECONDARY GAP UP OPEN HIGH SHORT,8,AXISBANK,365.50,3,sell,372.90,358.25,TARGET TRIGGERED,358.25,21.75,937
09:15:10,SECONDARY GAP DOWN OPEN LOW LONG,9,TORNTPOWER,294.95,8,buy,293.40,300.75,TARGET TRIGGERED,300.75,46.40,938
09:15:13,SECONDARY GAP UP OPEN HIGH SHORT,10,AXISBANK,365.40,3,sell,372.80,358.15,TARGET TRIGGERED,358.15,21.75,939
09:15:13,SECONDARY GAP UP OPEN HIGH SHORT,11,TATACONSUM,NaN,7,sell,NaN,NaN,AUTO SQUARED OFF,0.00,NaN,940
09:15:14,SECONDARY GAP UP OPEN HIGH SHORT,12,TATACONSUM,NaN,7,sell,NaN,NaN,AUTO SQUARED OFF,0.00,NaN,941
09:15:14,SECONDARY GAP UP OPEN HIGH SHORT,13,BIOCON,333.20,5,sell,339.95,326.60,AUTO SQUARED OFF,335.95,-13.75,942
09:15:15,SECONDARY GAP UP OPEN HIGH SHORT,14,ICICIBANK,303.60,3,sell,309.75,297.60,STOPLOSS TRIGGERED,309.75,-18.45,943
09:15:18,SECONDARY GAP UP OPEN HIGH SHORT,15,BIOCON,333.85,5,sell,340.60,327.25,AUTO SQUARED OFF,335.95,-10.50,944
09:15:18,SECONDARY GAP UP OPEN HIGH SHORT,16,ICICIBANK,303.80,3,sell,309.95,297.80,STOPLOSS TRIGGERED,309.95,-18.45,945
09:15:18,SECONDARY GAP UP OPEN HIGH SHORT,17,BPCL,299.10,5,sell,305.15,293.20,TARGET TRIGGERED,293.20,29.50,946
09:15:19,SECONDARY GAP UP OPEN HIGH SHORT,18,ICICIBANK,303.95,3,sell,310.10,297.95,STOPLOSS TRIGGERED,310.10,-18.45,947
09:15:19,SECONDARY GAP UP OPEN HIGH SHORT,19,BPCL,299.10,5,sell,305.15,293.20,TARGET TRIGGERED,293.20,29.50,948
09:15:20,SECONDARY GAP UP OPEN HIGH SHORT,20,ADANIPORTS,299.30,6,sell,305.35,293.40,STOPLOSS TRIGGERED,305.35,-36.30,
09:15:25,SECONDARY GAP UP OPEN HIGH SHORT,21,TATASTEEL,270.60,3,sell,276.10,265.25,STOPLOSS TRIGGERED,276.10,-16.50,
09:15:25,SECONDARY GAP UP OPEN HIGH SHORT,22,ADANIPORTS,299.15,6,sell,305.20,293.25,STOPLOSS TRIGGERED,305.20,-36.30,
09:15:26,SECONDARY GAP UP OPEN HIGH SHORT,23,BPCL,299.55,5,sell,305.60,293.65,TARGET TRIGGERED,293.65,29.50,
