TIME,STRATEGY NAME,TRADE NO,STOCK,PRICE,QUANTITY,TYPE,SL,TARGET,STATUS,EXIT PRICE,PL
09:15:00,SECONDARY GAP DOWN OPEN LOW LONG,1,SUNPHARMA,447.30,3,buy,445.05,456.20,STOPLOSS TRIGGERED,445.05,-6.75,390
09:15:00,SECONDARY GAP UP OPEN HIGH SHORT,2,LT,868.80,1,sell,873.20,851.50,TARGET TRIGGERED,851.50,17.30,391
09:15:00,SECONDARY GAP DOWN OPEN LOW LONG,3,ICICIBANK,319.95,3,buy,318.30,326.25,STOPLOSS TRIGGERED,318.30,-4.95,392
09:15:01,SECONDARY GAP DOWN OPEN LOW LONG,4,ICICIBANK,318.45,3,buy,316.85,324.80,STOPLOSS TRIGGERED,316.85,-4.80,393
09:15:01,SECONDARY GAP UP OPEN HIGH SHORT,5,INFY,656.70,3,sell,660.05,643.65,STOPLOSS TRIGGERED,660.05,-10.05,394
09:15:01,SECONDARY GAP DOWN OPEN LOW LONG,6,ADANIPORTS,306.10,6,buy,304.55,312.20,STOPLOSS TRIGGERED,304.55,-9.30,396
09:15:02,SECONDARY GAP DOWN OPEN LOW LONG,7,ADANIPORTS,306.05,6,buy,304.50,312.15,STOPLOSS TRIGGERED,304.50,-9.30,397
09:15:02,SECONDARY GAP UP OPEN HIGH SHORT,8,BHARTIARTL,554.70,5,sell,557.50,543.65,STOPLOSS TRIGGERED,557.50,-14.00,398
09:15:02,SECONDARY GAP DOWN OPEN LOW LONG,9,WIPRO,182.65,8,buy,181.70,186.30,STOPLOSS TRIGGERED,181.70,-7.60,
09:15:02,SECONDARY GAP UP OPEN HIGH SHORT,10,BHARATFORG,283.95,3,sell,285.45,278.35,STOPLOSS TRIGGERED,285.45,-4.50,399
09:15:03,SECONDARY GAP DOWN OPEN LOW LONG,11,M&MFIN,163.50,3,buy,162.60,166.70,STOPLOSS TRIGGERED,162.60,-2.70,
09:15:03,SECONDARY GAP UP OPEN HIGH SHORT,12,INFRATEL,202.75,5,sell,203.85,198.75,STOPLOSS TRIGGERED,203.85,-5.50,
09:15:03,SECONDARY GAP DOWN OPEN LOW LONG,13,IBULHSGFIN,131.50,2,buy,130.80,134.10,STOPLOSS TRIGGERED,130.80,-1.40,
09:15:03,SECONDARY GAP UP OPEN HIGH SHORT,14,JSWSTEEL,174.85,5,sell,175.80,171.45,STOPLOSS TRIGGERED,175.80,-4.75,
09:15:04,SECONDARY GAP DOWN OPEN LOW LONG,15,COALINDIA,125.85,6,buy,125.20,128.35,STOPLOSS TRIGGERED,125.20,-3.90,
09:15:05,SECONDARY GAP DOWN OPEN LOW LONG,16,ICICIBANK,316.95,3,buy,315.30,323.20,STOPLOSS TRIGGERED,315.30,-4.95,
09:15:06,SECONDARY GAP DOWN OPEN LOW LONG,17,M&MFIN,163.15,3,buy,162.25,166.35,STOPLOSS TRIGGERED,162.25,-2.70,
09:15:06,SECONDARY GAP UP OPEN HIGH SHORT,18,UJJIVAN,168.30,4,sell,169.20,165.00,TARGET TRIGGERED,165.00,13.20,
09:15:07,SECONDARY GAP UP OPEN HIGH SHORT,19,ITC,164.95,6,sell,165.85,161.70,STOPLOSS TRIGGERED,165.85,-5.40,
09:15:08,SECONDARY GAP UP OPEN HIGH SHORT,20,INFRATEL,203.05,5,sell,204.15,199.05,STOPLOSS TRIGGERED,204.15,-5.50,400
09:15:08,SECONDARY GAP DOWN OPEN LOW LONG,21,WIPRO,182.25,8,buy,181.30,185.85,STOPLOSS TRIGGERED,181.30,-7.60,402
09:15:09,SECONDARY GAP DOWN OPEN LOW LONG,22,WIPRO,182.25,8,buy,181.30,185.85,STOPLOSS TRIGGERED,181.30,-7.60,401
09:15:09,SECONDARY GAP UP OPEN HIGH SHORT,23,BHARATFORG,283.95,3,sell,285.45,278.35,STOPLOSS TRIGGERED,285.45,-4.50,404
09:15:09,SECONDARY GAP UP OPEN HIGH SHORT,24,INFRATEL,203.05,5,sell,204.15,199.05,STOPLOSS TRIGGERED,204.15,-5.50,
09:15:09,SECONDARY GAP DOWN OPEN LOW LONG,25,M&MFIN,162.40,3,buy,161.50,165.55,STOPLOSS TRIGGERED,161.50,-2.70,
09:15:09,SECONDARY GAP DOWN OPEN LOW LONG,26,IBULHSGFIN,131.25,2,buy,130.50,133.80,STOPLOSS TRIGGERED,130.50,-1.50,
09:15:09,SECONDARY GAP UP OPEN HIGH SHORT,27,JSWSTEEL,174.80,5,sell,175.75,171.40,STOPLOSS TRIGGERED,175.75,-4.75,403
09:15:09,SECONDARY GAP DOWN OPEN LOW LONG,28,COALINDIA,126.10,6,buy,125.45,128.60,STOPLOSS TRIGGERED,125.45,-3.90,
09:15:09,SECONDARY GAP UP OPEN HIGH SHORT,29,UJJIVAN,167.15,4,sell,168.05,163.90,TARGET TRIGGERED,163.90,13.00,
09:15:09,SECONDARY GAP DOWN OPEN LOW LONG,30,M&MFIN,162.65,3,buy,161.80,165.90,STOPLOSS TRIGGERED,161.80,-2.55,
09:15:09,SECONDARY GAP UP OPEN HIGH SHORT,31,ITC,164.90,6,sell,165.80,161.70,STOPLOSS TRIGGERED,165.80,-5.40,
09:15:09,SECONDARY GAP UP OPEN HIGH SHORT,32,ADANIENT,143.40,10,sell,144.20,140.60,STOPLOSS TRIGGERED,144.20,-8.00,
09:15:11,SECONDARY GAP UP OPEN HIGH SHORT,33,HINDALCO,120.20,9,sell,120.90,117.85,STOPLOSS TRIGGERED,120.90,-6.30,
09:15:11,SECONDARY GAP DOWN OPEN LOW LONG,34,ADANIPORTS,304.75,6,buy,303.20,310.80,STOPLOSS TRIGGERED,303.20,-9.30,
09:15:12,SECONDARY GAP DOWN OPEN LOW LONG,35,ICICIBANK,315.70,3,buy,314.10,322.00,STOPLOSS TRIGGERED,314.10,-4.80,
09:15:16,SECONDARY GAP UP OPEN HIGH SHORT,36,ADANIENT,143.10,10,sell,143.90,140.30,STOPLOSS TRIGGERED,143.90,-8.00,405
09:15:16,SECONDARY GAP DOWN OPEN LOW LONG,37,M&MFIN,162.75,3,buy,161.90,166.00,STOPLOSS TRIGGERED,161.90,-2.55,406
09:15:16,SECONDARY GAP DOWN OPEN LOW LONG,38,M&MFIN,162.75,3,buy,161.90,166.00,STOPLOSS TRIGGERED,161.90,-2.55,407
09:15:16,SECONDARY GAP UP OPEN HIGH SHORT,39,UJJIVAN,166.85,4,sell,167.75,163.60,TARGET TRIGGERED,163.60,13.00,408
