TIME,STRATEGY NAME,TRADE NO,STOCK,PRICE,QUANTITY,TYPE,SL,TARGET,STATUS,EXIT PRICE,PL
09:15:05,SECONDARY GAP UP OPEN HIGH SHORT,1,LT,877.25,1,sell,881.70,859.80,STOPLOSS TRIGGERED,881.70,-4.45,260
09:15:06,SECONDARY GAP UP OPEN HIGH SHORT,2,ESCORTS,815.10,3,sell,819.25,798.85,STOPLOSS TRIGGERED,819.25,-12.45,261
09:15:07,SECONDARY GAP UP OPEN HIGH SHORT,3,INFY,661.95,3,sell,665.35,648.80,TARGET TRIGGERED,648.80,39.45,262
09:15:08,SECONDARY GAP UP OPEN HIGH SHORT,4,CIPLA,571.35,3,sell,574.25,559.95,STOPLOSS TRIGGERED,574.25,-8.70,263
09:15:09,SECONDARY GAP UP OPEN HIGH SHORT,5,BHARTIARTL,541.50,5,sell,544.30,530.75,STOPLOSS TRIGGERED,544.30,-14.00,264
09:15:10,SECONDARY GAP UP OPEN HIGH SHORT,6,INDUSINDBK,425.95,1,sell,428.15,417.50,TARGET TRIGGERED,417.50,8.45,265
09:15:10,SECONDARY GAP UP OPEN HIGH SHORT,7,GLENMARK,349.95,3,sell,351.75,343.00,STOPLOSS TRIGGERED,351.75,-5.40,266
09:15:11,SECONDARY GAP UP OPEN HIGH SHORT,8,CADILAHC,339.50,4,sell,341.25,332.80,STOPLOSS TRIGGERED,341.25,-7.00,267
09:15:12,SECONDARY GAP UP OPEN HIGH SHORT,9,ICICIBANK,326.30,3,sell,328.00,319.85,TARGET TRIGGERED,319.85,19.35,269
09:15:13,SECONDARY GAP UP OPEN HIGH SHORT,10,MARICO,319.95,7,sell,321.60,313.60,STOPLOSS TRIGGERED,321.60,-11.55,271
09:15:16,SECONDARY GAP UP OPEN HIGH SHORT,11,BPCL,312.00,5,sell,313.65,305.85,STOPLOSS TRIGGERED,313.65,-8.25,273
09:15:17,SECONDARY GAP UP OPEN HIGH SHORT,12,TATASTEEL,270.40,3,sell,271.85,265.05,STOPLOSS TRIGGERED,271.85,-4.35,275
09:15:24,SECONDARY GAP UP OPEN HIGH SHORT,13,BANDHANBNK,252.40,3,sell,253.75,247.45,STOPLOSS TRIGGERED,253.75,-4.05,277
09:15:25,SECONDARY GAP UP OPEN HIGH SHORT,14,CHOLAFIN,149.15,6,sell,149.95,146.25,STOPLOSS TRIGGERED,149.95,-4.80,279
09:15:26,SECONDARY GAP UP OPEN HIGH SHORT,15,COALINDIA,129.25,6,sell,129.95,126.75,STOPLOSS TRIGGERED,129.95,-4.20,
09:15:27,SECONDARY GAP UP OPEN HIGH SHORT,16,MANAPPURAM,127.55,15,sell,128.25,125.05,STOPLOSS TRIGGERED,128.25,-10.50,
